,WinGoldDiff,WinKP,WinDP,WinGoldShare,WinDmgShare,WinDmgRate,WinCSRate,WinTime,WinningestChampion,LoseGoldDiff,LoseKP,LoseDP,LoseGoldShare,LoseDmgShare,LoseDmgRate,LoseCSRate,LoseTime,LosingestChampion
Xervantes1,3758.7631578947367,44.623157894736835,15.95078947368421,22.86078947368421,18.52921052631579,563.6986842105262,1.7650000000000001,29.921315789473685,62,-586.9642857142857,41.63250000000001,20.34892857142857,22.01678571428571,18.315714285714286,479.32000000000005,1.862857142857143,30.89285714285715,62
jaychouhero,407.26666666666665,56.096666666666664,16.645999999999997,13.941333333333334,7.9046666666666665,225.71399999999997,0.6093333333333333,30.654666666666664,350,-2939.25,46.77833333333333,12.755833333333333,13.754999999999997,9.648333333333332,227.2316666666667,0.9341666666666667,29.1725,350
Sasha The Greyt,3065.304347826087,44.7095652173913,13.796521739130432,22.5095652173913,20.563478260869566,622.0521739130435,6.440434782608694,30.004782608695653,21,-592.6818181818181,46.24,16.514545454545456,23.200454545454544,22.22909090909091,547.3322727272727,6.148181818181819,31.906818181818185,21
Naecysha,2793.675675675676,56.83594594594595,20.075135135135135,22.344594594594593,25.094594594594593,778.5983783783785,2.0118918918918918,28.617027027027024,60,-1154.157894736842,57.26394736842104,20.59526315789474,22.172105263157892,24.319473684210525,692.6281578947368,1.4992105263157895,30.45394736842106,60
KennenGenius,575.8,45.036,20.165,18.07,18.314,596.2,3.783,29.851999999999997,85,-1527.7826086956522,48.37521739130434,19.073913043478264,19.751304347826085,22.60347826086957,558.9865217391304,3.2208695652173907,28.141304347826086,85
my sup is naotan,1711.6,49.983999999999995,21.05,22.616000000000003,24.44,724.5779999999999,6.596000000000001,31.040000000000003,67,-565.7777777777778,60.31888888888889,26.058888888888887,23.142222222222223,29.22222222222222,764.3511111111111,5.0088888888888885,28.806666666666665,67
Asuna1995,2525.2894736842104,49.956315789473685,22.345263157894735,22.041842105263157,25.872368421052634,819.0228947368422,3.896315789473685,27.466052631578943,163,-727.2068965517242,53.482413793103454,22.714137931034482,22.35379310344828,26.25655172413793,684.1441379310345,4.042758620689655,29.023793103448273,163
topherchris99,672.375,43.886250000000004,14.629999999999999,19.37125,13.1875,349.5025,0.78875,28.45125,48,-1651.125,54.07625,16.42,20.3975,13.2,291.98249999999996,0.7725,30.0975,48
TWICE Maknae,1173.6,49.894,15.365,19.855,17.371000000000002,500.46899999999994,2.077,26.524,113,-1704.2222222222222,53.32277777777777,18.787222222222223,21.38,21.618333333333332,547.4855555555555,2.71,30.046111111111113,64
GodsSummoner,1916.2619047619048,51.706428571428575,21.414761904761903,19.50452380952381,21.125,628.8857142857141,3.717857142857143,27.233333333333338,51,-1549.8064516129032,53.92612903225807,17.519032258064517,20.524516129032264,21.011290322580642,572.0903225806453,3.6735483870967744,31.11741935483871,51
JaxPlayerNA,3138.785714285714,49.96357142857142,21.19,22.375357142857144,22.66857142857143,716.2107142857143,2.9910714285714284,31.04,2,-1492.054054054054,48.277567567567566,22.581351351351355,22.4972972972973,21.67297297297297,590.9254054054054,3.091351351351351,30.360270270270263,2
NIKAI,1901.3846153846155,58.89384615384616,24.475384615384616,19.62076923076923,22.75846153846154,670.2207692307693,3.9938461538461536,29.180000000000003,3,-1570.6666666666667,53.10444444444445,24.905,20.90222222222222,22.732222222222223,585.8572222222223,2.388888888888889,27.49888888888889,25
Carlos centropès,2110.3529411764707,49.59764705882352,21.233235294117645,21.19794117647059,22.57588235294118,659.3947058823529,4.041764705882353,27.701764705882354,202,-2760.4333333333334,44.71100000000001,20.159666666666666,20.564666666666668,20.77766666666667,524.1863333333333,3.574,28.787666666666674,141
ghostmanhex,576.375,49.625,23.1,18.97875,16.38375,545.7974999999999,3.9837499999999997,30.23375,51,-2137.2,50.809999999999995,21.727,18.192,19.494999999999997,497.791,2.973,29.594,51
no type is win,3768.108695652174,52.843043478260874,16.9,23.825434782608696,25.544565217391302,780.825,6.775217391304349,27.893043478260868,145,-1527.3939393939395,51.32969696969697,16.400909090909092,23.434242424242427,22.933939393939397,533.6475757575759,6.3521212121212125,27.443636363636358,145
nami boy,957.0,55.61805555555556,19.89,15.749444444444443,12.341111111111111,370.3686111111111,1.288611111111111,28.938888888888886,37,-1200.9333333333334,55.12233333333334,17.445666666666668,16.14,14.282666666666664,353.8066666666666,1.1466666666666667,28.44933333333334,267
black1630,360.38461538461536,43.57307692307692,17.545384615384616,15.296923076923076,12.016153846153847,350.09230769230766,1.7107692307692306,28.557692307692307,143,-889.375,52.266562500000006,19.011875,15.590625000000001,13.9084375,383.0821875,1.441875,32.051874999999995,143
SvvagDaddy69,3328.5,59.09,28.335,20.97,14.905000000000001,346.505,0.71,24.205,59,-1945.888888888889,43.59777777777778,20.146666666666665,18.637777777777774,14.585555555555556,377.3811111111111,1.8355555555555556,26.74666666666667,79
VictoryFire,1234.05,41.14,24.02475,20.638,23.186,712.78475,5.41325,28.05775,78,-1985.6969696969697,38.57212121212122,22.680606060606063,20.723636363636363,23.08090909090909,575.7254545454545,5.148484848484849,28.366060606060604,78
