,GamesPlayed,WinRate,WinGoldDiff,WinKP,WinDP,WinGoldShare,WinDmgShare,WinDmgRate,WinCSRate,WinTime,WinningestRole,WinningestChampion,LoseGoldDiff,LoseKP,LoseDP,LoseGoldShare,LoseDmgShare,LoseDmgRate,LoseCSRate,LoseTime,LosingestRole,LosingestChampion
Byrnout,77,50.65,904.3846153846154,52.15897435897437,13.126923076923077,14.273076923076923,8.285897435897434,243.8602564102564,1.6928205128205123,30.173076923076923,DUO_SUPPORTBOTTOM,Alistar,-1974.578947368421,49.252631578947366,17.066578947368416,14.287105263157894,9.885526315789475,222.54947368421054,1.5605263157894738,29.68447368421053,DUO_SUPPORTBOTTOM,Alistar
NOOBSLOSE,70,67.14,5178.31914893617,56.55617021276596,27.507021276595744,25.383829787234042,34.08085106382978,1104.0978723404253,4.871063829787235,27.993191489361703,SOLOMID,Yasuo,-328.30434782608694,43.42695652173913,27.413478260869564,22.32913043478261,27.6095652173913,727.2456521739131,4.887391304347826,29.518260869565214,SOLOMID,Kassadin
xxUNBEATABLExx,16,50.0,3834.625,51.510000000000005,19.22375,22.845,27.055,818.0250000000001,6.01625,30.5875,SOLOTOP,Tryndamere,731.625,39.50375,16.52875,22.83,29.89625,742.8775,5.99375,31.10875,SOLOTOP,Tryndamere
theZestyPancake,74,51.35,1791.6842105263158,49.503947368421045,20.67815789473684,21.02921052631579,22.74105263157895,662.6636842105262,2.7642105263157895,31.358157894736845,NONEJUNGLE,Twitch,-1855.138888888889,46.4525,22.50388888888889,20.592777777777776,20.880000000000003,520.946111111111,3.2677777777777783,29.647499999999997,SOLOMID,Fizz
Akoltry,48,47.92,1330.0,51.62434782608696,15.971304347826086,20.86130434782609,18.266521739130436,539.0365217391304,2.0156521739130433,28.875217391304353,NONEJUNGLE,Warwick,-2687.8,51.5784,19.4844,20.4352,17.7332,422.7828,1.9139999999999997,27.615999999999996,NONEJUNGLE,Warwick
 Piang Piang,68,45.59,2333.1935483870966,49.208064516129035,25.38741935483871,21.38225806451613,23.188064516129028,702.385806451613,3.9570967741935483,27.812580645161294,NONEJUNGLE,JarvanIV,-1491.945945945946,45.03594594594595,23.722432432432434,20.277567567567566,21.967567567567563,620.4610810810811,3.67,30.55945945945946,NONEJUNGLE,JarvanIV
Flat Earth Facts,79,41.77,1984.909090909091,50.50818181818181,17.545151515151513,21.038484848484853,21.715454545454545,679.790606060606,5.167878787878789,31.774848484848476,DUO_CARRYBOTTOM,Vladimir,-1920.108695652174,47.65913043478261,18.44608695652174,21.132826086956523,21.97891304347826,604.5434782608696,5.409782608695653,31.14239130434783,DUO_CARRYBOTTOM,Caitlyn
Buzz00Lightyear,77,46.75,1830.5555555555557,46.61611111111111,18.979166666666668,20.959444444444443,20.688055555555557,650.6847222222223,4.235833333333334,31.756944444444443,DUO_CARRYBOTTOM,Tristana,-1061.9756097560976,48.13390243902439,19.760243902439022,21.740731707317074,23.710243902439025,589.1946341463414,4.477804878048781,30.161951219512193,DUO_CARRYBOTTOM,Vayne
Transcendense,79,53.16,1527.047619047619,48.96214285714285,21.372142857142858,20.256190476190476,20.63452380952381,624.8345238095238,3.97,30.43333333333333,SOLOMID,Jhin,-1765.3243243243244,50.69567567567568,17.817027027027027,20.64702702702703,19.93837837837838,548.7332432432431,3.9367567567567567,31.65216216216216,DUO_CARRYBOTTOM,Jhin
Zetema,62,43.55,1804.888888888889,43.77666666666666,20.16111111111111,20.24259259259259,19.820000000000004,621.5525925925925,3.857037037037037,30.475555555555555,DUO_SUPPORTBOTTOM,Malphite,-1029.2571428571428,45.38542857142857,17.97085714285714,21.311999999999998,22.771714285714285,627.2571428571429,4.246,31.523428571428575,SOLOTOP,Teemo
