,GamesPlayed,WinRate,WinGoldDiff,WinKP,WinDP,WinGoldShare,WinDmgShare,WinDmgRate,WinCSRate,WinTime,WinningestRole,WinningestChampion,LoseGoldDiff,LoseKP,LoseDP,LoseGoldShare,LoseDmgShare,LoseDmgRate,LoseCSRate,LoseTime,LosingestRole,LosingestChampion
Distúrbed,78,52.56,2438.2195121951218,47.25731707317073,14.974878048780486,21.86,23.014146341463416,692.4053658536585,5.617560975609756,30.223170731707313,SOLOMID,Lucian,-1194.054054054054,46.07837837837837,15.107567567567568,21.67135135135135,23.48702702702703,574.1348648648649,5.592432432432432,31.006486486486494,SOLOMID,Lucian
BiceptuaI,76,50.0,1770.5526315789473,51.96394736842106,20.944210526315793,21.98342105263158,24.94315789473684,815.522105263158,5.16263157894737,31.372894736842103,SOLOMID,Zed,-499.7368421052632,52.83052631578947,18.754473684210524,21.698947368421052,24.218684210526316,608.4715789473685,4.797105263157895,30.612631578947372,SOLOMID,Zed
Busta Chîmes,68,50.0,1196.0,45.172941176470594,18.414411764705882,18.813823529411764,20.58235294117647,626.7982352941176,4.124705882352941,30.643235294117652,SOLOTOP,Shen,-1656.6764705882354,47.695,18.997647058823524,19.928529411764703,21.437058823529416,524.519705882353,3.6267647058823536,29.60058823529412,SOLOTOP,Shen
SnakesInYerPants,74,54.05,566.45,47.242000000000004,18.41175,14.48975,10.15725,312.78499999999997,0.8940000000000001,31.494,DUO_SUPPORTBOTTOM,Janna,-1885.4117647058824,49.92088235294117,19.56705882352941,14.668823529411764,11.22264705882353,289.76,0.8311764705882353,29.71205882352941,DUO_SUPPORTBOTTOM,Janna
DiscipulusBonus,72,58.33,2401.4285714285716,47.39023809523809,15.702380952380953,21.968333333333334,22.648809523809526,700.5000000000001,5.3342857142857145,31.11357142857143,DUO_CARRYBOTTOM,Caitlyn,-1065.4,50.55333333333332,19.736,21.431,21.603666666666665,582.0509999999998,5.17,31.291,DUO_CARRYBOTTOM,Jhin
PhreakIsMyFather,77,53.25,861.9268292682926,50.24439024390244,20.426585365853658,19.477073170731707,19.21682926829268,584.6034146341462,1.075609756097561,30.962926829268294,NONEJUNGLE,Fiddlesticks,-1453.4444444444443,56.457499999999996,22.31083333333333,20.752777777777776,22.34583333333333,620.9794444444445,1.1938888888888886,30.462222222222223,NONEJUNGLE,Fiddlesticks
 V1K,75,53.33,1142.775,56.2395,25.71825,18.145,20.28,600.6837499999999,2.316,29.589750000000002,DUO_SUPPORTBOTTOM,Senna,-1435.2,48.372571428571426,22.31828571428571,18.777714285714282,20.59742857142857,512.1057142857142,3.1528571428571426,28.836,DUO_SUPPORTBOTTOM,Senna
Victory Road,89,55.06,1246.8979591836735,52.80061224489796,13.602040816326532,21.47102040816326,22.106530612244903,640.6389795918368,6.11469387755102,29.414081632653062,DUO_CARRYBOTTOM,Ashe,-1582.075,49.820499999999996,13.64075,21.20925,20.926499999999997,517.55525,5.6925,29.64975,DUO_CARRYBOTTOM,Ashe
Mémento Morí,80,53.75,1544.9302325581396,44.90651162790698,21.634418604651163,20.341395348837207,21.147906976744185,639.5937209302324,4.520930232558139,28.36674418604651,DUO_CARRYBOTTOM,Jinx,-1660.2702702702702,45.443243243243245,20.20189189189189,19.955135135135134,18.491891891891893,491.32972972972965,3.9718918918918913,30.344054054054062,DUO_CARRYBOTTOM,Jinx
primalspartan,71,52.11,2160.2432432432433,40.73702702702702,19.53216216216216,20.835945945945944,17.50432432432432,510.2272972972974,3.9308108108108106,28.155405405405407,NONEJUNGLE,Nasus,-1443.5882352941176,47.09235294117647,19.043823529411767,21.039411764705882,17.90294117647059,424.4991176470588,2.533529411764706,29.55529411764706,NONEJUNGLE,XinZhao
TROKEANDO KUH ,70,48.57,2119.5,45.889705882352935,25.741470588235295,22.697352941176472,26.015,804.5749999999999,5.9547058823529415,31.062352941176467,SOLOTOP,Garen,-1628.361111111111,39.42638888888888,21.909444444444446,20.587222222222223,20.176388888888887,545.8002777777779,4.891388888888888,30.682499999999997,SOLOTOP,Garen
Tony Softmeat,74,51.35,2033.8157894736842,49.290263157894756,19.94973684210526,22.608421052631577,23.99078947368421,756.6942105263158,4.980000000000001,31.270789473684214,DUO_CARRYBOTTOM,Caitlyn,-1214.5277777777778,53.97944444444444,19.72583333333333,22.970277777777778,24.065,589.1,5.383611111111112,29.636944444444445,DUO_CARRYBOTTOM,Caitlyn
Bloo519,83,48.19,1131.4,46.7515,23.179250000000003,20.538,20.11275,623.696,5.2395,30.925,DUO_CARRYBOTTOM,MissFortune,-1930.1860465116279,50.376511627906964,21.05,21.6646511627907,21.175348837209302,583.366511627907,5.253255813953489,32.348139534883714,DUO_CARRYBOTTOM,MissFortune
Cry on bush,82,53.66,1951.590909090909,52.38477272727273,19.346363636363638,19.981590909090908,19.71409090909091,607.1947727272726,3.9834090909090905,29.565,DUO_CARRYBOTTOM,Tristana,-2188.6052631578946,48.44605263157895,20.89842105263158,20.109999999999992,18.678684210526313,467.99789473684217,3.810526315789473,29.75052631578947,DUO_CARRYBOTTOM,Tristana
Imbecilic,59,47.46,2633.535714285714,56.556785714285716,11.340714285714288,22.676785714285717,26.434285714285714,754.6557142857142,6.325714285714286,30.56607142857143,DUO_CARRYBOTTOM,Lucian,-987.7096774193549,54.244516129032256,12.913548387096773,21.999677419354835,26.050322580645165,675.8722580645161,6.031935483870968,31.519354838709674,DUO_CARRYBOTTOM,MissFortune
MishterShpencer2,71,43.66,1417.6451612903227,52.19903225806452,20.592903225806452,18.39225806451613,17.423548387096773,562.5254838709677,1.71,32.61612903225806,DUO_SUPPORTBOTTOM,Bard,-1113.85,55.27974999999999,20.125,19.20475,21.42025,584.71275,1.9220000000000002,31.428999999999995,DUO_SUPPORTBOTTOM,Bard
GrandmastaSensei,72,45.83,1806.4242424242425,41.64484848484848,28.797878787878787,20.794848484848487,23.24878787878788,703.5578787878787,5.327878787878788,28.418181818181818,SOLOMID,Yasuo,-1691.974358974359,44.4523076923077,24.25282051282051,20.848717948717947,22.482307692307693,553.3687179487181,4.370512820512821,28.66794871794872,SOLOMID,Yasuo
ApocrythaReaper,70,44.29,315.48387096774195,45.46000000000001,25.380000000000003,14.901935483870968,10.288387096774194,310.2122580645161,1.1722580645161291,31.268064516129026,DUO_SUPPORTBOTTOM,Sion,-1797.5641025641025,43.531282051282055,21.80076923076923,15.302820512820512,12.497948717948718,324.55871794871797,1.2446153846153847,30.46871794871795,DUO_SUPPORTBOTTOM,Blitzcrank
Light Of Lies,69,40.58,968.1785714285714,44.137499999999996,22.78785714285715,20.1575,20.804285714285715,641.76,5.088571428571429,33.38,SOLOTOP,Fiora,-2335.560975609756,40.95146341463415,19.362926829268293,20.370731707317074,20.42829268292683,544.8792682926829,5.154878048780487,32.38951219512195,SOLOTOP,Fiora
Machevellie,73,49.32,439.1666666666667,48.17111111111111,20.76694444444444,17.052777777777777,15.034444444444444,458.62944444444446,2.307222222222222,31.515833333333333,DUO_SUPPORTBOTTOM,Caitlyn,-1967.1891891891892,48.281081081081076,20.13081081081081,17.188108108108107,15.722432432432436,377.0878378378378,2.246486486486486,28.50756756756756,DUO_SUPPORTBOTTOM,Senna
GetJinxedSMDR,81,54.32,2705.090909090909,53.721363636363634,23.164545454545454,22.39272727272727,24.443863636363634,781.6120454545454,4.912272727272728,32.469772727272726,DUO_CARRYBOTTOM,Jinx,-1320.3243243243244,54.41972972972974,21.164324324324326,21.884324324324325,23.187027027027025,596.1381081081081,4.474594594594594,30.65513513513514,DUO_CARRYBOTTOM,Jinx
el alguasil,72,47.22,1934.1176470588234,46.16823529411765,22.54382352941176,21.320588235294117,20.628823529411765,609.5444117647058,3.0902941176470584,29.353823529411763,NONEJUNGLE,Kayn,-1062.078947368421,56.82157894736843,24.117894736842107,21.56657894736842,22.147894736842105,598.9892105263156,2.5523684210526314,31.87342105263158,NONEJUNGLE,MissFortune
lowkey gai,65,50.77,1765.5454545454545,47.482424242424244,20.847878787878788,20.76666666666667,21.87545454545455,731.7157575757576,3.5121212121212118,31.37545454545454,SOLOMID,Mordekaiser,-2761.15625,48.0046875,20.1753125,20.400000000000002,20.9778125,584.6234375,2.9353125,31.614687500000002,NONEJUNGLE,Mordekaiser
CrazyStairz,53,50.94,635.5555555555555,48.66814814814814,12.816296296296297,19.30185185185185,22.176296296296293,693.2325925925926,5.1429629629629625,31.65740740740741,SOLOMID,Viktor,-2607.153846153846,45.9723076923077,16.662307692307692,19.061153846153847,21.763076923076923,491.5242307692307,4.301923076923078,28.654230769230768,SOLOMID,Viktor
OfficialPhatal,73,47.95,327.9142857142857,46.26114285714285,21.495714285714286,15.330285714285713,10.697714285714286,329.23542857142854,0.9314285714285715,30.071428571428566,DUO_SUPPORTBOTTOM,Lulu,-1652.1842105263158,45.11105263157896,20.72473684210526,16.842105263157894,13.794473684210525,361.0849999999999,1.1018421052631577,27.97947368421052,DUO_SUPPORTBOTTOM,Warwick
Dajuju,83,53.01,527.5454545454545,56.00000000000002,26.010227272727274,15.197500000000002,13.267727272727273,406.295,0.571590909090909,30.63909090909091,DUO_SUPPORTBOTTOM,Sona,-1736.3333333333333,53.42051282051281,24.971538461538465,15.623333333333335,14.923846153846156,363.5748717948718,0.5910256410256408,29.801282051282044,DUO_SUPPORTBOTTOM,Sona
Eth3real,73,53.42,1167.128205128205,44.91923076923078,17.803076923076922,19.20025641025641,15.1825641025641,464.3223076923078,1.1115384615384616,28.55794871794872,NONEJUNGLE,Elise,-1510.5588235294117,51.13235294117647,19.49970588235294,20.590000000000003,18.105588235294118,523.5002941176472,1.5441176470588234,30.512647058823532,NONEJUNGLE,Elise
Lednoo,74,56.76,1833.2380952380952,38.65833333333333,18.909761904761904,18.41761904761905,15.419285714285717,462.3892857142857,3.9854761904761906,29.198809523809526,SOLOTOP,Rengar,-1856.0625,44.29875,20.095937499999998,19.245625,16.835625,411.0228125,3.788125,29.434687500000003,SOLOTOP,Rengar
pvvns,76,47.37,2100.1666666666665,51.51333333333333,20.9375,21.368055555555554,20.568611111111107,628.4524999999999,4.201666666666667,29.506944444444443,DUO_CARRYBOTTOM,Kaisa,-1773.6,51.256499999999996,19.9455,22.322750000000003,20.52375,491.8834999999999,4.5485,28.327250000000003,DUO_CARRYBOTTOM,Kaisa
Jatuck01,72,48.61,2008.2571428571428,44.804,21.399142857142863,21.05714285714286,21.406285714285715,685.3831428571428,4.452857142857142,31.891428571428566,SOLOTOP,Garen,-2134.837837837838,43.45486486486487,22.336756756756753,19.779999999999998,19.77054054054054,475.9051351351351,3.7189189189189196,28.86810810810811,SOLOTOP,Ezreal
Loner69,77,55.84,1941.093023255814,52.370930232558145,19.85162790697674,20.42511627906977,17.347441860465118,527.8853488372093,2.0706976744186045,29.71813953488373,NONEJUNGLE,Vi,-1701.9117647058824,57.52735294117647,21.241176470588233,21.078823529411768,20.070588235294117,540.5179411764706,2.343529411764706,30.947352941176472,NONEJUNGLE,Vi
Lollip0ppy,81,56.79,1625.608695652174,51.60326086956522,26.29391304347826,21.085434782608697,25.07326086956522,800.4132608695653,4.6245652173913046,31.333695652173912,DUO_CARRYBOTTOM,Ezreal,-1334.2571428571428,51.34314285714286,21.635142857142853,21.88114285714286,25.582571428571423,723.874,4.791142857142858,29.08,DUO_CARRYBOTTOM,Ezreal
Sam Nns,82,42.68,1267.8857142857144,52.766571428571424,22.262285714285714,22.294,23.77257142857143,777.7388571428571,4.871142857142857,31.673999999999996,DUO_CARRYBOTTOM,Varus,-1595.340425531915,51.245106382978726,21.72744680851064,21.56063829787234,21.481702127659577,592.4814893617022,4.412127659574468,29.951063829787234,DUO_CARRYBOTTOM,Lucian
DriveMe,74,41.89,566.9677419354839,45.96354838709678,19.193548387096776,15.309999999999997,10.942580645161293,305.59677419354847,1.2809677419354837,30.976774193548383,DUO_SUPPORTBOTTOM,Bard,-2105.6511627906975,43.16604651162791,18.7746511627907,15.61720930232558,13.017209302325579,292.0432558139535,1.4172093023255814,29.181860465116284,DUO_SUPPORTBOTTOM,Nautilus
Bless Sigmar,77,51.95,3029.475,50.5835,14.662749999999999,22.592000000000002,21.31975,669.94075,4.01175,29.776,NONEJUNGLE,Ezreal,-1762.6216216216217,45.59729729729731,18.43054054054054,20.80135135135135,18.690270270270272,466.36810810810806,3.315945945945946,29.818378378378377,NONEJUNGLE,Ezreal
BedBathAndBronze,78,50.0,687.7435897435897,34.931794871794864,18.166666666666664,19.62538461538462,19.352307692307694,609.7176923076922,5.128717948717949,28.38538461538461,SOLOTOP,Akali,-1660.076923076923,36.21153846153847,17.264358974358974,19.721025641025637,21.051794871794872,506.30897435897424,5.12051282051282,28.756666666666668,SOLOTOP,Akali
GardashaÑ,90,55.56,3189.58,51.16380000000001,19.6654,23.320999999999998,25.147,754.4016,5.2652,30.9742,SOLOMID,Diana,-1203.35,48.914750000000005,20.3305,21.68675,21.897,556.25125,4.376,31.6125,SOLOMID,Kassadin
N0otherway,76,56.58,-0.6046511627906976,41.93162790697675,22.4206976744186,18.582093023255812,16.561162790697676,493.5232558139534,4.116976744186046,30.925813953488372,SOLOMID,Ornn,-2928.4848484848485,38.72727272727273,19.872121212121215,19.352424242424238,16.08121212121212,396.3578787878788,4.03939393939394,30.86212121212121,SOLOMID,Neeko
enlam,88,53.41,2672.446808510638,53.24574468085107,15.100212765957448,21.414468085106382,23.316382978723396,718.7531914893617,5.285106382978723,31.365319148936173,DUO_CARRYBOTTOM,Caitlyn,-1315.3170731707316,56.74268292682926,16.746829268292682,20.235121951219515,21.699024390243906,575.850731707317,4.219512195121951,31.235609756097556,DUO_CARRYBOTTOM,Caitlyn
Twice Stan,49,59.18,3256.655172413793,57.809655172413784,21.431724137931038,20.442068965517244,24.228275862068966,753.9589655172413,3.3010344827586207,26.77931034482759,DUO_SUPPORTBOTTOM,Sivir,-309.45,53.58549999999999,19.038500000000003,19.813499999999998,23.647000000000002,661.465,2.8315,31.171999999999997,DUO_SUPPORTBOTTOM,Sivir
xxDagger,79,46.84,1057.8108108108108,46.91189189189189,24.56432432432432,16.983783783783785,17.821351351351353,584.2594594594594,1.4786486486486488,30.98486486486488,DUO_SUPPORTBOTTOM,Zyra,-2369.095238095238,43.06571428571429,22.443095238095243,17.163809523809526,19.663095238095238,477.1854761904762,1.8902380952380953,29.140476190476186,DUO_SUPPORTBOTTOM,Zyra
SBBxgreenscar,70,45.71,1678.875,31.1328125,16.509375,20.5628125,18.0084375,517.260625,5.553125,29.5165625,SOLOTOP,Tryndamere,-1648.6052631578948,33.003157894736844,15.74315789473684,21.698947368421056,19.611052631578946,419.85315789473685,5.6763157894736835,27.394736842105264,SOLOTOP,Tryndamere
ŚinB,77,38.96,1385.9,47.316333333333326,16.438666666666666,19.849333333333334,19.048333333333336,581.337,2.565666666666667,31.41233333333333,NONEJUNGLE,Lux,-1810.3617021276596,49.418936170212774,16.99021276595745,19.619148936170212,16.4868085106383,393.1963829787234,2.063191489361702,29.783191489361705,NONEJUNGLE,Lux
Derigo,67,47.76,2279.78125,58.36875,20.463437499999998,19.128437499999997,18.415937500000002,567.888125,2.0853124999999997,29.0715625,DUO_SUPPORTBOTTOM,Thresh,-1393.3714285714286,55.471714285714285,20.250857142857143,18.196857142857144,16.359428571428573,404.14057142857143,1.812857142857143,27.105142857142855,DUO_SUPPORTBOTTOM,Thresh
Plastic Flamingo,77,54.55,283.1904761904762,55.015952380952385,19.21785714285714,17.815714285714286,16.651190476190475,503.8530952380952,3.2990476190476192,31.081428571428575,DUO_SUPPORTBOTTOM,Veigar,-1910.057142857143,52.35457142857143,18.033428571428573,18.051714285714286,17.940571428571428,451.66714285714284,2.912857142857143,30.17771428571428,DUO_SUPPORTBOTTOM,Yuumi
Riggity Rick,78,43.59,302.6470588235294,38.682941176470585,22.230294117647055,19.02558823529412,16.024117647058826,488.775,3.6805882352941173,30.590882352941176,NONEJUNGLE,Shaco,-2585.0227272727275,43.73454545454546,23.015454545454542,20.150454545454544,20.472045454545455,545.5550000000002,3.8761363636363644,30.13113636363637,DUO_CARRYBOTTOM,MissFortune
Kòtà,65,44.62,1519.2758620689656,37.586551724137934,25.493448275862068,20.072068965517243,18.410000000000004,575.701724137931,4.467931034482758,29.409655172413796,SOLOTOP,MasterYi,-2116.777777777778,40.59277777777778,22.537499999999998,20.284444444444446,20.344722222222224,488.7597222222222,4.0775,30.51944444444444,SOLOTOP,MasterYi
Geodude001,78,51.28,1853.475,52.48875,16.547,19.43525,19.132749999999998,577.6102500000001,3.6245,30.502,DUO_SUPPORTBOTTOM,Sivir,-1273.657894736842,50.705789473684206,18.166315789473682,18.443684210526317,18.151578947368417,466.8744736842106,3.3184210526315794,31.308157894736848,DUO_SUPPORTBOTTOM,Thresh
xXFumigateXx,77,41.56,482.03125,44.848437499999996,20.01125,19.018437499999997,21.428125,637.0253125,3.9271874999999996,30.256249999999998,SOLOMID,Lucian,-1653.8444444444444,46.98555555555556,20.006444444444448,20.202444444444446,22.082444444444445,569.7379999999999,3.9,31.199777777777783,SOLOMID,Yasuo
nooneclose,72,47.22,246.55882352941177,42.829117647058816,16.294705882352943,19.44970588235294,18.289411764705882,580.7876470588236,4.013235294117647,31.00588235294118,SOLOMID,Veigar,-2164.4736842105262,45.653684210526315,16.955263157894734,19.321578947368423,19.649210526315784,493.34657894736836,3.427368421052631,31.496578947368423,SOLOMID,Veigar
Big Dic Teemo ,62,50.0,1457.4193548387098,40.057096774193546,21.187741935483867,20.20483870967742,21.97225806451613,699.9377419354838,4.919354838709677,31.156451612903222,SOLOTOP,Sett,-1745.0967741935483,48.29903225806451,21.28258064516129,21.798709677419353,26.321290322580644,677.0596774193549,4.304838709677418,29.86193548387097,SOLOTOP,Sett
DarkShadowNinja,70,45.71,1805.5,47.139062499999994,22.976875,17.2846875,20.697499999999998,645.301875,1.4390625,30.0621875,DUO_SUPPORTBOTTOM,Velkoz,-1095.5263157894738,47.370263157894726,20.357631578947373,17.97736842105263,20.169473684210526,538.3647368421053,2.314736842105263,32.08657894736842,DUO_SUPPORTBOTTOM,Velkoz
YNKD,69,55.07,1994.5526315789473,39.32894736842105,15.960263157894737,21.229473684210525,20.212368421052634,591.0902631578948,6.070263157894736,31.910789473684208,SOLOTOP,Fiora,-1922.6129032258063,39.57354838709677,17.799677419354836,20.889677419354836,22.095161290322583,515.4506451612903,5.575806451612903,27.65096774193549,SOLOTOP,Fiora
MRchimps77,81,50.62,1739.6829268292684,50.604390243902444,17.59292682926829,20.155365853658537,20.58073170731707,615.94,4.4246341463414645,29.83268292682927,DUO_CARRYBOTTOM,Jinx,-2037.7,44.56875,18.15025,18.7125,16.560750000000002,382.16475,3.8042500000000006,31.0505,DUO_CARRYBOTTOM,Jinx
